x y z strike dip rake
(km) (km) (km) (deg) (deg) (deg)
   21.1261    2.1102  -28.0000   36.0  78.0   180.0
   33.3570    2.1102  -28.0000  248.0  77.0   158.0
   11.1190   -4.5536  -18.4000   37.0  89.0  -115.0
   30.0213    6.5527  -28.1000   37.0  54.0   103.0
   23.3499    3.2208  -23.9000   26.0  50.0   134.0
   13.3428   23.2121  -15.0000    3.0  75.0    85.0
   21.1261   17.6590  -19.1000    2.0  63.0    77.0
   11.1190   19.8803  -18.1000   29.0  63.0    92.0
   14.4547   24.3228  -27.2000   26.0  61.0    64.0
   32.2451  -12.3280  -26.1000   65.0  50.0   125.0
   16.6785   20.9909  -19.7000   15.0  61.0    80.0
   31.1332   23.2121  -18.1000  200.0  28.0   110.0
  107.8543  -33.4299  -27.9000   13.0  71.0    92.0
    6.6714  -11.2174  -27.1000   71.0  41.0   117.0
   11.1190 -104.5102  -35.6000   98.0  56.0   -86.0
  -98.9591 -140.0503  -31.0000  153.0  83.0    -6.0
  -83.3925  -60.0850  -44.8000   22.0  39.0    76.0
   10.0071   -1.2217  -24.0000   29.0  83.0  -137.0
 -148.9946  -67.8594  -34.3000  208.0  32.0   115.0
   85.6163   -4.5536  -24.9000   32.0  86.0     8.0
  -62.2664  -35.6512  -17.5000  128.0  87.0   104.0
   96.7353   -6.7748  -24.6000   13.0  55.0   103.0
    2.2238  139.8282  -45.9000  150.0  56.0   138.0
 -148.9946  -73.4126  -33.3000  235.0  43.0   138.0
  -78.9449  -62.3063  -38.2000  177.0  55.0    94.0
  -18.9023  -12.3280  -32.2000  198.0  83.0   168.0
   14.6993  -56.6088  -19.5000   73.0  87.0  -104.9
    8.8952    3.2208  -15.0000   32.0  90.0  -100.0
  -35.5808  -40.0937  -41.3000   24.0  35.0    78.0
  -62.2664  -47.8681  -37.9000   19.0  58.0  -126.0
  -25.5737  -43.4256  -40.5000   79.0  32.0   131.0
 -161.2255  -81.1870  -15.5000   70.0  89.0   104.0
   48.1897   27.1104  -35.5000   53.5  39.7    -0.9
 -159.0017 -111.1739  -44.6000    6.0  36.0    83.0
 -121.1971   80.9648  -20.7000  200.0  73.0   -12.0
 -117.8614   73.1904  -12.0000   13.0  72.0   -15.0
 -116.7495   80.9648  -14.2000   38.0  88.0   -30.0
 -112.3019   69.8586  -17.9000   16.0  66.0   -16.0
  -30.0213  116.5050  -43.2000   41.0  55.0   132.0
   14.4547  -45.6468  -43.7000   64.0  36.0   136.0
   -1.1119  134.2750  -49.5000  120.0  69.0   139.0
 -124.5328  -53.4212  -41.9000  237.0  76.0   146.0
 -114.3923   45.0804  -35.9000   41.3  78.2   146.0
   37.8046  -45.6468  -41.4000   79.0  73.0   156.0
 -111.1900  -34.5406  -27.7000  219.0  62.0   122.0
  -66.5806  -38.0279  -40.0000   33.4  31.5    95.8
 -161.9705  -57.1307  -15.0000  148.7  51.4   101.7
