x y z strike dip rake shear normal coulomb
(km) (km) (km) (deg) (deg) (deg) (bar) (bar) (bar)
 -100.0000 -100.0000  -10.0000   30.0  90.0   180.0    0.0134   -0.0060    0.0110
 -100.0000  -95.0000  -10.0000   30.0  90.0   180.0    0.0131   -0.0070    0.0103
 -100.0000  -90.0000  -10.0000   30.0  90.0   180.0    0.0126   -0.0080    0.0094
 -100.0000  -85.0000  -10.0000   30.0  90.0   180.0    0.0117   -0.0090    0.0081
 -100.0000  -80.0000  -10.0000   30.0  90.0   180.0    0.0104   -0.0099    0.0064
 -100.0000  -75.0000  -10.0000   30.0  90.0   180.0    0.0087   -0.0107    0.0044
 -100.0000  -70.0000  -10.0000   30.0  90.0   180.0    0.0066   -0.0112    0.0021
 -100.0000  -65.0000  -10.0000   30.0  90.0   180.0    0.0040   -0.0113   -0.0005
 -100.0000  -60.0000  -10.0000   30.0  90.0   180.0    0.0010   -0.0109   -0.0034
 -100.0000  -55.0000  -10.0000   30.0  90.0   180.0   -0.0024   -0.0100   -0.0064
 -100.0000  -50.0000  -10.0000   30.0  90.0   180.0   -0.0060   -0.0084   -0.0093
 -100.0000  -45.0000  -10.0000   30.0  90.0   180.0   -0.0096   -0.0061   -0.0121
 -100.0000  -40.0000  -10.0000   30.0  90.0   180.0   -0.0132   -0.0029   -0.0144
 -100.0000  -35.0000  -10.0000   30.0  90.0   180.0   -0.0164    0.0009   -0.0160
 -100.0000  -30.0000  -10.0000   30.0  90.0   180.0   -0.0190    0.0055   -0.0168
 -100.0000  -25.0000  -10.0000   30.0  90.0   180.0   -0.0208    0.0106   -0.0166
 -100.0000  -20.0000  -10.0000   30.0  90.0   180.0   -0.0216    0.0159   -0.0152
 -100.0000  -15.0000  -10.0000   30.0  90.0   180.0   -0.0212    0.0213   -0.0127
 -100.0000  -10.0000  -10.0000   30.0  90.0   180.0   -0.0197    0.0263   -0.0092
 -100.0000   -5.0000  -10.0000   30.0  90.0   180.0   -0.0171    0.0306   -0.0048
 -100.0000    0.0000  -10.0000   30.0  90.0   180.0   -0.0134    0.0339    0.0002
 -100.0000    5.0000  -10.0000   30.0  90.0   180.0   -0.0090    0.0361    0.0055
 -100.0000   10.0000  -10.0000   30.0  90.0   180.0   -0.0041    0.0369    0.0107
 -100.0000   15.0000  -10.0000   30.0  90.0   180.0    0.0010    0.0363    0.0155
 -100.0000   20.0000  -10.0000   30.0  90.0   180.0    0.0059    0.0344    0.0197
 -100.0000   25.0000  -10.0000   30.0  90.0   180.0    0.0105    0.0314    0.0230
 -100.0000   30.0000  -10.0000   30.0  90.0   180.0    0.0144    0.0273    0.0253
 -100.0000   35.0000  -10.0000   30.0  90.0   180.0    0.0175    0.0225    0.0265
 -100.0000   40.0000  -10.0000   30.0  90.0   180.0    0.0198    0.0173    0.0268
 -100.0000   45.0000  -10.0000   30.0  90.0   180.0    0.0213    0.0118    0.0260
 -100.0000   50.0000  -10.0000   30.0  90.0   180.0    0.0220    0.0064    0.0245
 -100.0000   55.0000  -10.0000   30.0  90.0   180.0    0.0219    0.0013    0.0224
 -100.0000   60.0000  -10.0000   30.0  90.0   180.0    0.0212   -0.0035    0.0198
 -100.0000   65.0000  -10.0000   30.0  90.0   180.0    0.0200   -0.0079    0.0169
 -100.0000   70.0000  -10.0000   30.0  90.0   180.0    0.0185   -0.0117    0.0138
 -100.0000   75.0000  -10.0000   30.0  90.0   180.0    0.0167   -0.0149    0.0107
 -100.0000   80.0000  -10.0000   30.0  90.0   180.0    0.0147   -0.0175    0.0077
 -100.0000   85.0000  -10.0000   30.0  90.0   180.0    0.0126   -0.0197    0.0048
 -100.0000   90.0000  -10.0000   30.0  90.0   180.0    0.0106   -0.0213    0.0021
